%,GPST,latitude(deg),longitude(deg),height(m),Q,ns,sdn(m),sde(m),sdu(m),sdne(m),sdeu(m),sdun(m),age(s),ratio
3/11/2025,7:42:41 PM,38.90558197,-92.26833198,223.0418,2,12,0.7438,0.5935,1.8309,-0.2404,0.2762,0.7558,0.2,0
3/11/2025,7:42:41 PM,38.90558223,-92.26833181,223.0728,2,12,0.5338,0.4246,1.3217,-0.1672,0.2078,0.5483,0.4,0
3/11/2025,7:42:42 PM,38.90558233,-92.26833186,223.0719,2,12,0.4381,0.3481,1.0869,-0.1357,0.1732,0.4516,0.6,0
3/11/2025,7:42:42 PM,38.9055823,-92.26833195,223.0795,2,12,0.3803,0.302,0.9446,-0.1171,0.1516,0.3928,0.8,0
3/11/2025,7:42:42 PM,38.90558217,-92.268332,223.0582,2,12,0.3407,0.2705,0.8467,-0.1045,0.1365,0.3522,0,0
3/11/2025,7:42:42 PM,38.90558207,-92.26833199,223.0504,2,12,0.3113,0.2471,0.774,-0.0953,0.1251,0.3221,0.2,0
3/11/2025,7:42:42 PM,38.90558194,-92.26833199,223.0437,2,12,0.2884,0.2289,0.7172,-0.0881,0.1162,0.2985,0.4,0
3/11/2025,7:42:43 PM,38.90558185,-92.26833198,223.0347,2,12,0.2699,0.2142,0.6714,-0.0824,0.109,0.2794,0.6,0
3/11/2025,7:42:43 PM,38.90558179,-92.26833202,223.0302,2,12,0.2546,0.2021,0.6333,-0.0776,0.103,0.2636,0.8,0
3/11/2025,7:42:43 PM,38.90558164,-92.26833205,223.0407,2,12,0.2416,0.1917,0.6011,-0.0736,0.0978,0.2502,0,0
3/11/2025,7:42:43 PM,38.90558153,-92.26833214,223.0356,2,12,0.2304,0.1829,0.5732,-0.0701,0.0934,0.2386,0.2,0
3/11/2025,7:42:43 PM,38.90558141,-92.26833212,223.0257,2,12,0.2206,0.1751,0.549,-0.0671,0.0896,0.2284,0.4,0
3/11/2025,7:42:44 PM,38.90558134,-92.26833214,223.0309,2,12,0.212,0.1683,0.5275,-0.0644,0.0861,0.2195,0.6,0
3/11/2025,7:42:44 PM,38.90558125,-92.26833216,223.0212,2,12,0.2043,0.1622,0.5084,-0.0621,0.0831,0.2115,0.8,0
3/11/2025,7:42:44 PM,38.90558126,-92.2683322,223.021,2,12,0.1973,0.1567,0.4911,-0.06,0.0803,0.2043,0,0
3/11/2025,7:42:44 PM,38.90558124,-92.26833224,223.0129,2,12,0.1911,0.1517,0.4756,-0.058,0.0779,0.1978,0.2,2.5
3/11/2025,7:42:44 PM,38.90558119,-92.26833226,223.0065,2,12,0.1854,0.1472,0.4614,-0.0563,0.0756,0.1918,0.4,2.4
3/11/2025,7:42:45 PM,38.90558116,-92.26833226,223.0001,2,12,0.1801,0.1431,0.4483,-0.0547,0.0735,0.1864,0.6,2.4
3/11/2025,7:42:45 PM,38.90558113,-92.26833231,222.9934,2,12,0.1753,0.1393,0.4364,-0.0532,0.0716,0.1814,0.8,2.4
3/11/2025,7:42:45 PM,38.90558109,-92.26833235,222.9946,2,12,0.1708,0.1358,0.4253,-0.0518,0.0698,0.1767,0,2.5
3/11/2025,7:42:45 PM,38.90558105,-92.26833238,222.9835,2,12,0.1667,0.1325,0.415,-0.0506,0.0682,0.1724,0.2,2.5
3/11/2025,7:42:45 PM,38.90558099,-92.26833244,222.9694,2,12,0.1629,0.1295,0.4054,-0.0494,0.0667,0.1683,0.4,2.5
3/11/2025,7:42:46 PM,38.90558093,-92.26833253,222.9593,2,12,0.1592,0.1266,0.3964,-0.0483,0.0652,0.1646,0.6,2.5
3/11/2025,7:42:46 PM,38.90558089,-92.26833258,222.9485,2,12,0.1559,0.124,0.388,-0.0473,0.0639,0.161,0.8,2.5
3/11/2025,7:42:46 PM,38.90558088,-92.26833265,222.943,2,12,0.1527,0.1215,0.3801,-0.0463,0.0627,0.1577,0,2.5
3/11/2025,7:42:46 PM,38.90558083,-92.26833269,222.9269,2,12,0.1497,0.1191,0.3726,-0.0454,0.0615,0.1546,0.2,2.5
3/11/2025,7:42:46 PM,38.90558081,-92.26833271,222.9131,2,12,0.1469,0.1169,0.3656,-0.0445,0.0603,0.1516,0.4,2.5
3/11/2025,7:42:47 PM,38.90558076,-92.26833277,222.9048,2,12,0.1442,0.1148,0.3589,-0.0437,0.0593,0.1488,0.6,2.6
3/11/2025,7:42:47 PM,38.90558071,-92.26833281,222.8948,2,12,0.1416,0.1128,0.3526,-0.043,0.0583,0.1461,0.8,2.6
3/11/2025,7:42:47 PM,38.90558069,-92.26833291,222.8849,2,12,0.1392,0.1109,0.3466,-0.0422,0.0573,0.1435,0,2.6
3/11/2025,7:42:47 PM,38.90558066,-92.26833295,222.8793,2,12,0.1369,0.1091,0.3409,-0.0415,0.0564,0.1411,0.2,2.6
3/11/2025,7:42:47 PM,38.90558061,-92.26833297,222.8801,2,12,0.1347,0.1074,0.3354,-0.0409,0.0556,0.1388,0.4,2.7
3/11/2025,7:42:48 PM,38.90558056,-92.26833303,222.8728,2,12,0.1326,0.1058,0.3302,-0.0402,0.0548,0.1366,0.6,2.7
3/11/2025,7:42:48 PM,38.90558055,-92.26833309,222.869,2,12,0.1306,0.1042,0.3252,-0.0396,0.054,0.1344,0.8,2.7
3/11/2025,7:42:48 PM,38.90558056,-92.26833314,222.8745,2,12,0.1287,0.1027,0.3204,-0.0391,0.0532,0.1324,0,2.7
3/11/2025,7:42:48 PM,38.90558058,-92.2683332,222.8779,2,12,0.1269,0.1013,0.3158,-0.0385,0.0525,0.1304,0.2,2.7
3/11/2025,7:42:48 PM,38.90558057,-92.26833323,222.8736,2,12,0.1251,0.0999,0.3114,-0.038,0.0518,0.1285,0.4,2.7
3/11/2025,7:42:49 PM,38.90558058,-92.26833325,222.8686,2,12,0.1234,0.0986,0.3072,-0.0375,0.0511,0.1267,0.6,2.7
3/11/2025,7:42:49 PM,38.90558055,-92.26833331,222.8706,2,12,0.1217,0.0973,0.3031,-0.037,0.0505,0.125,0.8,2.7
3/11/2025,7:42:49 PM,38.90558057,-92.26833333,222.8644,2,12,0.1202,0.0961,0.2992,-0.0365,0.0499,0.1233,0,2.7
