Date,Plot,Strip,Mean_Height,Strip Coordinates,Farm Coordiantes
3/11/2025,14,1,79,1.24764E+14,1.24764E+14
3/11/2025,14,1,79,1.24764E+14,1.24764E+14
3/11/2025,14,2,79,1.24764E+14,1.24764E+14
3/11/2025,14,3,79,1.24764E+14,1.24764E+14
3/11/2025,14,4,79,1.24764E+14,1.24764E+14
3/11/2025,14,5,79,1.24764E+14,1.24764E+14
3/11/2025,14,6,79,1.24764E+14,1.24764E+14
3/11/2025,14,7,79,1.24764E+14,1.24764E+14
3/11/2025,14,8,79,1.24764E+14,1.24764E+14
3/11/2025,14,9,79,1.24764E+14,1.24764E+14
3/11/2025,14,10,79,1.24764E+14,1.24764E+14
3/11/2025,14,1,79,1.24764E+14,1.24764E+14
3/11/2025,14,2,79,1.24764E+14,1.24764E+14
3/11/2025,14,3,79,1.24764E+14,1.24764E+14
3/11/2025,14,4,79,1.24764E+14,1.24764E+14
3/11/2025,14,5,79,1.24764E+14,1.24764E+14
3/11/2025,14,6,79,1.24764E+14,1.24764E+14
3/11/2025,14,7,79,1.24764E+14,1.24764E+14
3/11/2025,14,8,79,1.24764E+14,1.24764E+14
3/11/2025,14,9,79,1.24764E+14,1.24764E+14
3/11/2025,14,10,79,1.24764E+14,1.24764E+14
3/11/2025,14,1,79,1.24764E+14,1.24764E+14
3/11/2025,14,2,79,1.24764E+14,1.24764E+14
3/11/2025,14,3,79,1.24764E+14,1.24764E+14
3/11/2025,14,4,79,1.24764E+14,1.24764E+14
3/11/2025,14,5,79,1.24764E+14,1.24764E+14
3/11/2025,14,6,79,1.24764E+14,1.24764E+14
3/11/2025,14,7,79,1.24764E+14,1.24764E+14
3/11/2025,14,8,79,1.24764E+14,1.24764E+14
3/11/2025,14,9,79,1.24764E+14,1.24764E+14
3/11/2025,14,10,79,1.24764E+14,1.24764E+14
3/11/2025,14,1,79,1.24764E+14,1.24764E+14
3/11/2025,14,2,79,1.24764E+14,1.24764E+14
3/11/2025,14,3,79,1.24764E+14,1.24764E+14
3/11/2025,14,4,79,1.24764E+14,1.24764E+14
3/11/2025,14,5,79,1.24764E+14,1.24764E+14
3/11/2025,14,6,79,1.24764E+14,1.24764E+14
3/11/2025,14,7,79,1.24764E+14,1.24764E+14
3/11/2025,14,8,79,1.24764E+14,1.24764E+14
3/11/2025,14,9,79,1.24764E+14,1.24764E+14
3/11/2025,14,10,79,1.24764E+14,1.24764E+14
3/11/2025,14,100,79,1.24764E+14,1.24764E+14
3/11/2025,28,1,79,1.24764E+14,1.24764E+14
3/11/2025,28,2,79,1.24764E+14,1.24764E+14
3/11/2025,28,3,79,1.24764E+14,1.24764E+14
3/11/2025,28,4,79,1.24764E+14,1.24764E+14
3/11/2025,28,5,79,1.24764E+14,1.24764E+14
3/11/2025,28,6,79,1.24764E+14,1.24764E+14
3/11/2025,28,7,79,1.24764E+14,1.24764E+14
3/11/2025,28,8,79,1.24764E+14,1.24764E+14
3/11/2025,28,9,79,1.24764E+14,1.24764E+14
3/11/2025,28,10,79,1.24764E+14,1.24764E+14
3/11/2025,28,1,79,1.24764E+14,1.24764E+14
3/11/2025,28,2,79,1.24764E+14,1.24764E+14
3/11/2025,28,3,79,1.24764E+14,1.24764E+14
3/11/2025,28,4,79,1.24764E+14,1.24764E+14
3/11/2025,28,5,79,1.24764E+14,1.24764E+14
3/11/2025,28,6,79,1.24764E+14,1.24764E+14
3/11/2025,28,7,79,1.24764E+14,1.24764E+14
3/11/2025,28,8,79,1.24764E+14,1.24764E+14
3/11/2025,28,9,79,1.24764E+14,1.24764E+14
3/11/2025,28,10,79,1.24764E+14,1.24764E+14
3/11/2025,28,1,79,1.24764E+14,1.24764E+14
3/11/2025,28,2,79,1.24764E+14,1.24764E+14
3/11/2025,28,3,79,1.24764E+14,1.24764E+14
3/11/2025,28,4,79,1.24764E+14,1.24764E+14
3/11/2025,28,5,79,1.24764E+14,1.24764E+14
3/11/2025,28,6,79,1.24764E+14,1.24764E+14
3/11/2025,28,7,79,1.24764E+14,1.24764E+14
3/11/2025,28,8,79,1.24764E+14,1.24764E+14
3/11/2025,28,9,79,1.24764E+14,1.24764E+14
3/11/2025,28,10,79,1.24764E+14,1.24764E+14
3/11/2025,28,1,79,1.24764E+14,1.24764E+14
3/11/2025,28,2,79,1.24764E+14,1.24764E+14
3/11/2025,28,3,79,1.24764E+14,1.24764E+14
3/11/2025,28,4,79,1.24764E+14,1.24764E+14
3/11/2025,28,5,79,1.24764E+14,1.24764E+14
3/11/2025,28,6,79,1.24764E+14,1.24764E+14
3/11/2025,28,7,79,1.24764E+14,1.24764E+14
3/11/2025,28,8,79,1.24764E+14,1.24764E+14
3/11/2025,28,9,79,1.24764E+14,1.24764E+14
3/11/2025,28,10,79,1.24764E+14,1.24764E+14
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
