Experiment,Date,Pre Post,Farm,Paddock,Strip,Weight in kg,Length in meters,Units
testbed,10/2/2024 16:03,Pre,14,1,1,2.4,1.32,Metric
testbec,10/2/2024 16:34,Pre,14,4,1,1.9,6.64,Metric
testbec,10/2/2024 16:37,Pre,14,4,2,1.79,5.11,Metric
testbec,10/2/2024 16:38,Pre,14,4,3,1.33,5.34,Metric
testbec,10/2/2024 16:39,Pre,14,4,4,1.21,5.3,Metric
testbec,10/2/2024 16:42,Pre,14,4,5,0.83,5.19,Metric
testbec,10/2/2024 16:44,Pre,14,4,6,1.3,5.71,Metric
testbec,10/2/2024 16:46,Pre,14,4,7,0.74,5.34,Metric
testbec,10/2/2024 16:48,Pre,14,4,8,0.96,5.68,Metric
testbec,10/2/2024 16:50,Pre,14,4,9,0.69,5.23,Metric
testbec,10/2/2024 16:52,Pre,14,4,10,0.67,5.23,Metric
testbec,10/2/2024 16:56,Pre,14,3,1,1.32,5.22,Metric
testbec,10/2/2024 16:57,Pre,14,3,2,0.81,5,Metric
testbec,10/2/2024 16:59,Pre,14,3,3,1.08,5.07,Metric
testbec,10/2/2024 17:01,Pre,14,3,4,1.29,5.64,Metric
testbec,10/2/2024 17:02,Pre,14,3,5,1.67,5.15,Metric
testbec,10/2/2024 17:04,Pre,14,3,6,1.57,5.19,Metric
testbec,10/2/2024 17:06,Pre,14,3,7,1.54,5.41,Metric
testbec,10/2/2024 17:07,Pre,14,3,8,1.33,5.45,Metric
testbec,10/2/2024 17:08,Pre,14,3,9,1.17,5.52,Metric
testbec,10/2/2024 17:10,Pre,14,3,10,1.64,5.75,Metric
testbec,10/2/2024 17:12,Pre,14,2,1,0.94,5.3,Metric
testbec,10/2/2024 17:13,Pre,14,2,2,1.36,5.45,Metric
testbec,10/2/2024 17:15,Pre,14,2,3,1.32,5.49,Metric
testbec,10/2/2024 17:16,Pre,14,2,4,1.34,5.41,Metric
testbec,10/2/2024 17:18,Pre,14,2,5,1.31,5.3,Metric
testbec,10/2/2024 17:19,Pre,14,2,6,1.37,5.37,Metric
testbec,10/2/2024 17:20,Pre,14,2,7,0.82,5.3,Metric
testbec,10/2/2024 17:22,Pre,14,2,8,1.38,5.64,Metric
testbec,10/2/2024 17:23,Pre,14,2,9,0.79,5.52,Metric
testbec,10/2/2024 17:24,Pre,14,2,10,0.95,5.19,Metric
testbec,10/2/2024 17:26,Pre,14,1,1,1.55,5.37,Metric
testbec,10/2/2024 17:27,Pre,14,1,2,1.4,5.49,Metric
testbec,10/2/2024 17:29,Pre,14,1,3,2.16,5.12,Metric
testbec,10/2/2024 17:30,Pre,14,1,4,1.05,5.34,Metric
testbec,10/2/2024 17:32,Pre,14,1,5,1.47,5.12,Metric
testbec,10/2/2024 17:33,Pre,14,1,6,1.56,5.49,Metric
testbec,10/2/2024 17:34,Pre,14,1,7,1.21,5.27,Metric
testbec,10/2/2024 17:35,Pre,14,1,8,1.52,5.3,Metric
testbec,10/2/2024 17:37,Pre,14,1,9,1.11,5.3,Metric
testbec,10/2/2024 17:37,Pre,14,1,10,-0.74,0.13,Metric
testbec,10/2/2024 17:43,Pre,14,1,100,0.47,5.49,Metric
testbec,10/2/2024 17:46,Pre,28,1,1,2.24,5.19,Metric
testbec,10/2/2024 17:47,Pre,28,1,2,2.18,5.45,Metric
testbec,10/2/2024 17:49,Pre,28,1,3,2.4,5.41,Metric
testbec,10/2/2024 17:50,Pre,28,1,4,2.7,5.3,Metric
testbec,10/2/2024 17:52,Pre,28,1,5,3.08,5.45,Metric
testbec,10/2/2024 17:53,Pre,28,1,6,3.21,5.71,Metric
testbec,10/2/2024 17:54,Pre,28,1,7,3.51,5.3,Metric
testbec,10/2/2024 17:55,Pre,28,1,8,3.1,5.41,Metric
testbec,10/2/2024 17:57,Pre,28,1,9,3.3,5.34,Metric
testbec,10/2/2024 17:58,Pre,28,1,10,3.5,5.71,Metric
testbec,10/2/2024 18:00,Pre,28,2,1,2.27,5.19,Metric
testbec,10/2/2024 18:01,Pre,28,2,2,2.13,5.38,Metric
testbec,10/2/2024 18:03,Pre,28,2,3,2.83,5.6,Metric
testbec,10/2/2024 18:04,Pre,28,2,4,1.95,5.41,Metric
testbec,10/2/2024 18:05,Pre,28,2,5,3.23,5.56,Metric
testbec,10/2/2024 18:06,Pre,28,2,6,2.26,5.27,Metric
testbec,10/2/2024 18:08,Pre,28,2,7,1.39,4.89,Metric
testbec,10/2/2024 18:09,Pre,28,2,8,2.78,5.12,Metric
testbec,10/2/2024 18:10,Pre,28,2,9,2.8,5.86,Metric
testbec,10/2/2024 18:11,Pre,28,2,10,1.89,5.45,Metric
testbec,10/2/2024 18:13,Pre,28,3,1,2.48,5.11,Metric
testbec,10/2/2024 18:14,Pre,28,3,2,2.83,6.12,Metric
testbec,10/2/2024 18:15,Pre,28,3,3,4.24,5.26,Metric
testbec,10/2/2024 18:17,Pre,28,3,4,2.87,5.15,Metric
testbec,10/2/2024 18:18,Pre,28,3,5,2.8,5.45,Metric
testbec,10/2/2024 18:19,Pre,28,3,6,3.33,5.34,Metric
