Plot,Strip,mean_height,median_height,std_height,sample_count,Coordinates1,Date,standard_error_height,Farm_Coordinates,unique_id1,unique_id,offset_m,Coordinates
GS_1_1,1,224.7536221,223.1785224,50.7459108,40,"POLYGON ((-91.44003761 37.78721691, -91.44003772 37.78721042, -91.44013534 37.78721043, -91.4401353 37.78721665, -91.44003761 37.78721691))",6/4/2026,8.023633004,"POLYGON ((-91.442144 37.78772, -91.442164 37.788076, -91.442118 37.788786, -91.441549 37.792932, -91.440653 37.793995, -91.439953 37.793945, -91.438453 37.793664, -91.438157 37.793096, -91.437572 37.79182, -91.437519 37.791567, -91.437535 37.791072, -91.437544 37.790958, -91.437864 37.788666, -91.437975 37.787982, -91.438443 37.786647, -91.438678 37.786467, -91.440545 37.78644, -91.442144 37.78772))",GS_1_1_1,GS_1_1_1_0,0,"POLYGON ((-91.44003761 37.78721691, -91.44003772 37.78721042, -91.44013534 37.78721043, -91.4401353 37.78721665, -91.44003761 37.78721691))"
GS_1_1,1,224.7536221,223.1785224,50.7459108,40,"POLYGON ((-91.44003761 37.78721691, -91.44003772 37.78721042, -91.44013534 37.78721043, -91.4401353 37.78721665, -91.44003761 37.78721691))",6/4/2026,8.023633004,"POLYGON ((-91.442144 37.78772, -91.442164 37.788076, -91.442118 37.788786, -91.441549 37.792932, -91.440653 37.793995, -91.439953 37.793945, -91.438453 37.793664, -91.438157 37.793096, -91.437572 37.79182, -91.437519 37.791567, -91.437535 37.791072, -91.437544 37.790958, -91.437864 37.788666, -91.437975 37.787982, -91.438443 37.786647, -91.438678 37.786467, -91.440545 37.78644, -91.442144 37.78772))",GS_1_1_1,GS_1_1_1_1,7,"POLYGON ((-91.44003761 37.78727997735018, -91.44003772 37.787273487350255, -91.44013534 37.78727349735025, -91.4401353 37.78727971735018, -91.44003761 37.78727997735018))"
GS_1_1,1,224.7536221,223.1785224,50.7459108,40,"POLYGON ((-91.44003761 37.78721691, -91.44003772 37.78721042, -91.44013534 37.78721043, -91.4401353 37.78721665, -91.44003761 37.78721691))",6/4/2026,8.023633004,"POLYGON ((-91.442144 37.78772, -91.442164 37.788076, -91.442118 37.788786, -91.441549 37.792932, -91.440653 37.793995, -91.439953 37.793945, -91.438453 37.793664, -91.438157 37.793096, -91.437572 37.79182, -91.437519 37.791567, -91.437535 37.791072, -91.437544 37.790958, -91.437864 37.788666, -91.437975 37.787982, -91.438443 37.786647, -91.438678 37.786467, -91.440545 37.78644, -91.442144 37.78772))",GS_1_1_1,GS_1_1_1_2,3,"POLYGON ((-91.44003761 37.78724393886444, -91.44003772 37.78723744886448, -91.44013534 37.787237458864475, -91.4401353 37.78724367886444, -91.44003761 37.78724393886444))"
GS_1_1,1,224.7536221,223.1785224,50.7459108,40,"POLYGON ((-91.44003761 37.78721691, -91.44003772 37.78721042, -91.44013534 37.78721043, -91.4401353 37.78721665, -91.44003761 37.78721691))",6/4/2026,8.023633004,"POLYGON ((-91.442144 37.78772, -91.442164 37.788076, -91.442118 37.788786, -91.441549 37.792932, -91.440653 37.793995, -91.439953 37.793945, -91.438453 37.793664, -91.438157 37.793096, -91.437572 37.79182, -91.437519 37.791567, -91.437535 37.791072, -91.437544 37.790958, -91.437864 37.788666, -91.437975 37.787982, -91.438443 37.786647, -91.438678 37.786467, -91.440545 37.78644, -91.442144 37.78772))",GS_1_1_1,GS_1_1_1_3,-3,"POLYGON ((-91.44003761 37.787189881135426, -91.44003772 37.7871833911354, -91.44013534 37.7871834011354, -91.4401353 37.787189621135425, -91.44003761 37.787189881135426))"
GS_1_1,10,249.0655045,238.2204024,63.00766176,46,"POLYGON ((-91.44013958 37.78744617, -91.44013838 37.78745272, -91.44003852 37.78744491, -91.44003903 37.78743779, -91.44013958 37.78744617))",6/4/2026,9.289972903,"POLYGON ((-91.442144 37.78772, -91.442164 37.788076, -91.442118 37.788786, -91.441549 37.792932, -91.440653 37.793995, -91.439953 37.793945, -91.438453 37.793664, -91.438157 37.793096, -91.437572 37.79182, -91.437519 37.791567, -91.437535 37.791072, -91.437544 37.790958, -91.437864 37.788666, -91.437975 37.787982, -91.438443 37.786647, -91.438678 37.786467, -91.440545 37.78644, -91.442144 37.78772))",GS_1_1_10,GS_1_1_10_0,0,"POLYGON ((-91.44013958 37.78744617, -91.44013838 37.78745272, -91.44003852 37.78744491, -91.44003903 37.78743779, -91.44013958 37.78744617))"
GS_1_1,10,249.0655045,238.2204024,63.00766176,46,"POLYGON ((-91.44013958 37.78744617, -91.44013838 37.78745272, -91.44003852 37.78744491, -91.44003903 37.78743779, -91.44013958 37.78744617))",6/4/2026,9.289972903,"POLYGON ((-91.442144 37.78772, -91.442164 37.788076, -91.442118 37.788786, -91.441549 37.792932, -91.440653 37.793995, -91.439953 37.793945, -91.438453 37.793664, -91.438157 37.793096, -91.437572 37.79182, -91.437519 37.791567, -91.437535 37.791072, -91.437544 37.790958, -91.437864 37.788666, -91.437975 37.787982, -91.438443 37.786647, -91.438678 37.786467, -91.440545 37.78644, -91.442144 37.78772))",GS_1_1_10,GS_1_1_10_1,7,"POLYGON ((-91.44013958 37.78750923734771, -91.44013838 37.787515787347644, -91.44003852 37.78750797734773, -91.44003903 37.78750085734781, -91.44013958 37.78750923734771))"
GS_1_1,10,249.0655045,238.2204024,63.00766176,46,"POLYGON ((-91.44013958 37.78744617, -91.44013838 37.78745272, -91.44003852 37.78744491, -91.44003903 37.78743779, -91.44013958 37.78744617))",6/4/2026,9.289972903,"POLYGON ((-91.442144 37.78772, -91.442164 37.788076, -91.442118 37.788786, -91.441549 37.792932, -91.440653 37.793995, -91.439953 37.793945, -91.438453 37.793664, -91.438157 37.793096, -91.437572 37.79182, -91.437519 37.791567, -91.437535 37.791072, -91.437544 37.790958, -91.437864 37.788666, -91.437975 37.787982, -91.438443 37.786647, -91.438678 37.786467, -91.440545 37.78644, -91.442144 37.78772))",GS_1_1_10,GS_1_1_10_2,3,"POLYGON ((-91.44013958 37.78747319886339, -91.44013838 37.78747974886336, -91.44003852 37.7874719388634, -91.44003903 37.78746481886343, -91.44013958 37.78747319886339))"
GS_1_1,10,249.0655045,238.2204024,63.00766176,46,"POLYGON ((-91.44013958 37.78744617, -91.44013838 37.78745272, -91.44003852 37.78744491, -91.44003903 37.78743779, -91.44013958 37.78744617))",6/4/2026,9.289972903,"POLYGON ((-91.442144 37.78772, -91.442164 37.788076, -91.442118 37.788786, -91.441549 37.792932, -91.440653 37.793995, -91.439953 37.793945, -91.438453 37.793664, -91.438157 37.793096, -91.437572 37.79182, -91.437519 37.791567, -91.437535 37.791072, -91.437544 37.790958, -91.437864 37.788666, -91.437975 37.787982, -91.438443 37.786647, -91.438678 37.786467, -91.440545 37.78644, -91.442144 37.78772))",GS_1_1_10,GS_1_1_10_3,-3,"POLYGON ((-91.44013958 37.78741914113648, -91.44013838 37.78742569113651, -91.44003852 37.78741788113647, -91.44003903 37.78741076113645, -91.44013958 37.78741914113648))"
GS_1_1,2,259.9666632,261.6427584,41.12028668,30,"POLYGON ((-91.44030258 37.787207, -91.44030227 37.78720098, -91.44037918 37.78720514, -91.44037813 37.78721144, -91.44030258 37.787207))",6/4/2026,7.507502863,"POLYGON ((-91.442144 37.78772, -91.442164 37.788076, -91.442118 37.788786, -91.441549 37.792932, -91.440653 37.793995, -91.439953 37.793945, -91.438453 37.793664, -91.438157 37.793096, -91.437572 37.79182, -91.437519 37.791567, -91.437535 37.791072, -91.437544 37.790958, -91.437864 37.788666, -91.437975 37.787982, -91.438443 37.786647, -91.438678 37.786467, -91.440545 37.78644, -91.442144 37.78772))",GS_1_1_2,GS_1_1_2_0,0,"POLYGON ((-91.44030258 37.787207, -91.44030227 37.78720098, -91.44037918 37.78720514, -91.44037813 37.78721144, -91.44030258 37.787207))"
GS_1_1,2,259.9666632,261.6427584,41.12028668,30,"POLYGON ((-91.44030258 37.787207, -91.44030227 37.78720098, -91.44037918 37.78720514, -91.44037813 37.78721144, -91.44030258 37.787207))",6/4/2026,7.507502863,"POLYGON ((-91.442144 37.78772, -91.442164 37.788076, -91.442118 37.788786, -91.441549 37.792932, -91.440653 37.793995, -91.439953 37.793945, -91.438453 37.793664, -91.438157 37.793096, -91.437572 37.79182, -91.437519 37.791567, -91.437535 37.791072, -91.437544 37.790958, -91.437864 37.788666, -91.437975 37.787982, -91.438443 37.786647, -91.438678 37.786467, -91.440545 37.78644, -91.442144 37.78772))",GS_1_1_2,GS_1_1_2_1,7,"POLYGON ((-91.44030258 37.787270067350285, -91.44030227 37.78726404735035, -91.44037918 37.7872682073503, -91.44037813 37.78727450735024, -91.44030258 37.787270067350285))"
